"TOA5","CR6Series_2","CR6","15361","CR6.Std.10.02","CPU:W20058__CR6CP_EErDuoSi.CR6","35657","Flux_AmeriFluxFormat"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","PA_SIGMA","TA_1_1_1","TA_SIGMA_1_1_1","RH_1_1_1","T_DP_1_1_1","VPD","T_SONIC","T_SONIC_SIGMA","PBLH"
"TS","RN","YYYYMMDDHHMM","YYYYMMDDHHMM","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","umolCO2 m-2 s-1","adimensional","W m-2","adimensional","mm hour-1","adimensional","W m-2","adimensional","m","m","m","m","decimal degrees","m s-1","m s-1","m s-1","adimensional","kg m-1 s-2","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","kPa","kPa","deg C","deg C","%","deg C","hPa","deg C","deg C","m"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-20 21:00:00",10,202105202030,202105202100,422.4417,1.998528,8.024757,0.5110897,3.332518,9,39.6039,9,0.05809963,9,-55.0415,9,19.14189,773.113,87.91338,52.6127,9.950592,1.529997,7.556748,0.1222576,1.008454,0.01534906,9,2.621963,1.186317,0.8725615,0,1.040172,0,0.2096238,86.62665,0.02607139,19.89096,0.9258536,29.73816,1.599241,16.44841,20.63559,0.8840148,111.5456
"2021-05-20 21:30:00",11,202105202100,202105202130,422.4198,1.623422,7.717059,0.9324272,0.8001167,8,-23.92753,8,-0.03511003,8,-4.571416,8,37.41647,106.0949,53.67538,40.57706,300.6189,1.762675,6.188918,0.2169567,0.02069966,0.04832822,7,127.7379,1.158067,1.103587,0,1.152402,-3.72529E-09,0.2639013,86.6709,0.01244154,20.12461,0.8560297,28.27163,1.000298,17.04307,20.84125,0.7774606,247.5411
"2021-05-20 22:00:00",12,202105202130,202105202200,423.1086,1.606966,7.674736,0.2851574,2.81943,6,23.95712,6,0.03512465,6,-50.92823,6,76.97275,221.7175,111.1595,83.95599,64.66306,1.589888,4.065452,0.293946,0.06817964,0.08897581,4,38.78181,0.5591636,0.8492314,0,1.399654,7.450581E-09,0.1451253,86.67373,0.01045562,19.27461,0.9211299,29.54136,1.008001,15.8656,19.98547,0.8983866,150.8498
"2021-05-20 22:30:00",13,202105202200,202105202230,425.8288,2.608665,8.155672,0.1480962,-0.206939,9,1.725632,9,0.002526715,9,-9.728792,9,97.39487,5388.381,511.5726,295.0805,68.24399,1.611371,2.941251,0.06245302,1.383303,0.004033574,9,1.91146,1.459728,0.4069732,0,0.7109615,7.450581E-09,0.1103189,86.65346,0.003365071,17.91214,0.572715,34.07281,1.850409,13.60241,18.66388,0.5619507,110.7733
"2021-05-20 23:00:00",14,202105202230,202105202300,428.0734,3.365364,8.254238,0.2403259,2.989677,9,9.543993,9,0.01396889,9,-28.05086,9,42.26447,2253.596,217.4008,126.1308,114.2191,1.786923,3.461464,0.1123193,0.678755,0.01306592,9,3.895559,1.727443,0.3199057,0,0.471791,0,0.08759961,86.65989,0.00931174,17.49082,0.9169516,35.48748,2.014737,12.99573,18.25046,0.8984571,112.93
"2021-05-20 23:30:00",15,202105202300,202105202330,435.232,2.762449,8.794713,0.09839096,1.335526,8,2.342704,8,0.003421078,8,-16.77694,8,15.62802,644.8593,72.40443,43.30296,171.8845,1.457221,3.592276,0.1341473,0.2411987,0.01878991,4,10.96245,1.192036,0.4625386,0,0.8523098,1.862645E-09,0.1513482,86.67371,0.006259311,15.1262,0.8949926,43.89741,2.904377,9.7231,15.9288,0.8907455,120.6114
"2021-05-21 00:00:00",16,202105202330,202105210000,435.8212,1.711748,8.907309,0.1211196,0.8723039,9,6.905789,9,0.01008205,9,-1.781772,9,30.24746,1000.688,127.8907,78.33107,163.5731,1.364799,3.580689,0.08199511,0.08687028,0.00702577,7,30.43768,1.161994,0.7624347,0,0.493278,-9.313226E-10,0.1710099,86.66951,0.00675085,14.86206,0.718156,45.1598,3.081124,9.327497,15.67417,0.7213118,141.7801
"2021-05-21 00:30:00",17,202105210000,202105210030,439.8211,1.912747,9.296285,0.1189387,1.410832,7,1.739603,7,0.002537784,7,-22.4097,7,18.01739,777.9037,85.05611,50.51315,207.5192,1.518659,3.34495,0.1425889,0.2692024,0.02130828,1,9.82209,1.380643,0.5135084,0,0.5879162,1.862645E-09,0.1760245,86.69351,0.01330048,14.06673,0.7875706,49.64259,3.684354,8.146528,14.91176,0.7853938,119.3718
"2021-05-21 01:00:00",18,202105210030,202105210100,440.6267,1.305391,9.651009,0.07460201,2.377409,4,1.078324,7,0.001573136,7,-19.47832,3,21.38913,946.5137,101.9747,60.46328,176.6541,1.586353,3.44382,0.1380843,0.25795,0.01997991,2,10.25055,1.494981,0.4865909,0,0.5313317,0,0.1984275,86.70022,0.006413263,14.09687,0.3733959,51.35392,4.213314,7.861424,14.97406,0.3712452,119.8376
"2021-05-21 01:30:00",19,202105210100,202105210130,436.7137,1.594053,9.887708,0.08333353,1.777035,3,4.058609,3,0.005918106,3,-24.69143,3,17.59181,662.7206,78.52541,47.42342,161.566,1.746348,3.951555,0.1773134,0.1534396,0.03299634,1,17.23239,1.712293,0.5095508,0,0.3425645,-1.862645E-09,0.2198326,86.68954,0.009871821,13.58844,0.4094195,54.36871,4.553735,7.137311,14.48543,0.4050843,127.4265
"2021-05-21 02:00:00",20,202105210130,202105210200,433.6368,0.8976016,10.143,0.06940483,1.713068,1,1.605235,4,0.002339785,4,-21.57715,1,22.09504,985.3627,105.6679,62.59664,144.8215,1.623892,4.613981,0.1423912,0.2603223,0.02130554,1,10.15714,1.574017,0.4186271,0,0.3866348,-3.72529E-09,0.1890767,86.6841,0.005348567,13.1845,0.3272726,57.22726,4.914008,6.513006,14.10323,0.3270611,119.736
"2021-05-21 02:30:00",21,202105210200,202105210230,432.3808,0.783756,10.29608,0.05781486,1.181386,9,2.241132,9,0.003266153,9,-17.81808,9,27.21586,1336.704,135.3819,79.31359,175.8236,1.505982,3.471127,0.1149737,0.4071137,0.01389694,9,6.494818,1.409923,0.4277585,0,0.498759,1.862645E-09,0.1871283,86.67828,0.004041504,13.02031,0.4934272,58.73058,5.125741,6.225021,13.95228,0.4909177,115.7552
"2021-05-21 03:00:00",22,202105210230,202105210300,433.1698,0.6526646,10.37795,0.01046713,0.6185778,9,0.1400749,9,0.000204011,9,-9.549385,9,38.97858,2069.559,200.1564,116.2003,200.8649,1.253477,2.499327,0.08289144,0.5860544,0.007240464,9,4.511748,1.230571,0.2296377,0,0.2411533,4.656613E-10,0.1158206,86.68436,0.003452703,12.35655,0.2963023,61.79902,5.239484,5.509344,13.29372,0.2969777,113.5997
"2021-05-21 03:30:00",23,202105210300,202105210330,433.8504,0.7930513,10.44714,0.03947832,0.8691232,7,-0.942922,7,-0.001372785,7,-7.211576,7,26.95521,1171.97,127.5516,75.72897,165.183,1.413367,2.38519,0.1078822,0.2025287,0.01227848,4,13.05558,1.381877,0.3503859,0,0.286545,9.313226E-10,0.1120074,86.66415,0.009003154,11.95588,0.3408,63.8606,5.330551,5.078167,12.89793,0.3409231,122.8865
"2021-05-21 04:00:00",24,202105210330,202105210400,436.3422,1.562937,10.44702,0.01119352,1.842244,8,-0.367923,8,-0.0005358093,8,1.132774,8,14.74521,216.3975,44.33447,29.71905,162.5624,1.028793,1.619443,0.1168244,-0.02438682,0.01438043,4,-108.4246,0.8904076,0.1983687,0,0.5161866,4.656613E-10,0.07901361,86.6489,0.004312564,12.26029,0.2498668,62.57199,5.327946,5.36271,13.20334,0.2500687,1462.053
"2021-05-21 04:30:00",25,202105210400,202105210430,433.9593,0.4444022,10.46762,0.01422387,-0.1144287,9,0.1543152,9,0.0002246063,9,-1.517888,9,23.25319,1085.71,113.3165,66.74073,185.2344,0.5307872,0.9498635,0.04462201,0.5943002,0.002102284,9,4.449149,0.4848077,0.2435748,0,0.1968565,1.862645E-09,0.02976838,86.65102,0.002972807,11.68239,0.534427,65.16891,5.356312,4.815377,12.62537,0.5352259,113.5317
"2021-05-21 05:00:00",26,202105210430,202105210500,436.5454,1.605986,10.44909,0.01856354,-0.2156586,8,-0.2206107,8,-0.0003209085,8,1.584822,8,7.155566,81.12025,19.3575,13.28574,128.704,0.6106141,1.180403,0.08275741,-0.09705976,0.007246647,7,-27.24228,0.400593,0.3681655,0,0.3446124,-9.313226E-10,0.05006505,86.64657,0.007783696,11.05979,0.3337643,67.76151,5.330368,4.269829,11.99906,0.33361,1555.154
