"TIMESTAMP","RECORD","FC","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","TA_SIGMA_1_1_1","RH_1_1_1","T_DP_1_1_1","e","e_sat","PA","PA_SIGMA","VPD","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2","CO2_SIGMA","CO2_density","CO2_density_SIGMA","H2O","H2O_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FTPRNT_DIST_INTRST","FTPRNT_EQUATION"
"TS","RN","umolCO2 m-2 s-1","mg m-2 s-1","grade","samples","W m-2","grade","samples","W m-2","grade","samples","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","deg C","%","deg C","kPa","kPa","kPa","kPa","hPa","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","umolCO2 mol-1","umolCO2 mol-1","mg m-3","mg m-3","mmolH2O mol-1","mmolH2O mol-1","g m-3","g m-3","fraction","fraction","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","m","m","m","m","m","%","authors"
"","","Smp","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-20 20:00:00",8,1.302583,0.0573267,6,18000,25.88702,3,18000,-19.67739,4,18000,-0.7601255,0.02868601,8,0.167148,0.1136409,1.953434,19.71367,0.4358239,31.37064,2.272203,0.722578,2.306319,86.57512,0.005569016,15.8374,1.598312,1.719444,0,0.9249164,0,0.3080717,20.49414,0.4207423,175,2.113934,1.59829,284.2344,40.00501,250.7656,7.767375,422.6584,0.9921566,655.834,2.328671,8.416554,0.2259347,5.346325,0.1483173,1.021818,1.026177,"NAN","NAN","NAN","NAN","NAN",0,17.32513,628.0008,76.091,46.17759,264.413,80.84705,"KormannMeixner"
"2021-05-20 20:30:00",9,3.766432,0.1657607,7,17985,76.11259,7,17985,-59.06004,7,17985,-0.7759563,0.1444837,7,0.3752539,0.152069,6.124321,20.06666,0.5125453,29.22851,1.565118,0.687545,2.357617,86.60622,0.01165174,16.70072,2.011818,2.328943,0,2.573441,0,0.4495232,20.8097,0.4828734,175,3.270498,2.007299,164.7822,50.34009,10.21783,18.4494,421.3513,1.263099,653.5244,2.63336,8.002449,0.4227561,5.080772,0.2735054,1.019946,1.024423,"NAN","NAN","NAN","NAN","NAN",0,37.87704,108.4059,54.51356,41.19199,264.413,98.58116,"Kljun et al"
"2021-05-20 21:00:00",10,3.332518,0.1466641,9,18000,39.6039,9,18000,-55.0415,9,18000,-1.3898,0.01534906,9,0.1222576,0.434629,0.9436321,19.89096,0.9258536,29.73816,1.599241,0.6896094,2.33445,86.62665,0.02607139,16.44841,1.186317,0.8725615,0,1.040172,0,0.2096238,20.63559,0.8840148,175,1.529997,1.184403,165.0494,38.49666,9.950592,7.556748,422.4417,1.998528,655.7565,4.833098,8.024757,0.5110897,5.100143,0.3382702,1.018978,1.023532,"NAN","NAN","NAN","NAN","NAN",0,19.14189,773.113,87.91338,52.6127,264.413,78.24698,"KormannMeixner"
"2021-05-20 21:30:00",11,0.8001167,0.03521314,8,18000,-23.92753,8,18000,-4.571416,8,18000,0.1910525,0.04832822,7,0.2169567,0.0203486,1.307789,20.12461,0.8560297,28.27163,1.000298,0.6636592,2.367966,86.6709,0.01244154,17.04307,1.158067,1.103587,0,1.152402,-3.72529E-09,0.2639013,20.84125,0.7774606,175,1.762675,1.157609,234.3811,47.45698,300.6189,6.188918,422.4198,1.623422,655.7312,3.924134,7.717059,0.9324272,4.905001,0.6018543,1.018776,1.023321,"NAN","NAN","NAN","NAN","NAN",0,37.41647,106.0949,53.67538,40.57706,264.413,98.91799,"Kljun et al"
"2021-05-20 22:00:00",12,2.81943,0.1240831,6,18000,23.95712,6,18000,-50.92823,6,18000,-2.125808,0.08897581,4,0.293946,0.166831,1.350644,19.27461,0.9211299,29.54136,1.008001,0.6601225,2.246683,86.67373,0.01045562,15.8656,0.5591636,0.8492314,0,1.399654,7.450581E-09,0.1451253,19.98547,0.8983866,175,1.589888,0.5561043,110.3369,65.31556,64.66306,4.065452,423.1086,1.606966,658.7614,4.313191,7.674736,0.2851574,4.891982,0.195285,1.018676,1.023187,"NAN","NAN","NAN","NAN","NAN",0,76.97275,221.7175,111.1595,83.95599,264.413,94.44756,"Kljun et al"
"2021-05-20 22:30:00",13,-0.206939,-0.009107386,9,18000,1.725632,9,18000,-9.728792,9,18000,-5.637814,0.004033574,9,0.06245302,0.1493221,0.3416318,17.91214,0.572715,34.07281,1.850409,0.7009985,2.061239,86.65346,0.003365071,13.60241,1.459728,0.4069732,0,0.7109615,7.450581E-09,0.1103189,18.66388,0.5619507,175,1.611371,1.457349,106.756,25.04262,68.24399,2.941251,425.8288,2.608665,665.6213,4.982436,8.155672,0.1480962,5.218777,0.1034917,1.018576,1.02307,"NAN","NAN","NAN","NAN","NAN",0,97.39487,5388.381,511.5726,295.0805,264.413,36.81374,"KormannMeixner"
"2021-05-20 23:00:00",14,2.989677,0.1315757,9,18000,9.543993,9,18000,-28.05086,9,18000,-2.939112,0.01306592,9,0.1123193,0.2390219,0.1663,17.49082,0.9169516,35.48748,2.014737,0.7094499,2.009023,86.65989,0.00931174,12.99573,1.727443,0.3199057,0,0.471791,0,0.08759961,18.25046,0.8984571,175,1.786923,1.724897,60.78087,15.09105,114.2191,3.461464,428.0734,3.365364,670.0959,7.009133,8.254238,0.2403259,5.289672,0.1683823,1.019077,1.02354,"NAN","NAN","NAN","NAN","NAN",0,42.26447,2253.596,217.4008,126.1308,264.413,59.79999,"KormannMeixner"
"2021-05-20 23:30:00",15,1.335526,0.05877648,8,18000,2.342704,8,18000,-16.77694,8,18000,-7.16136,0.01878991,4,0.1341473,0.1186893,0.4816402,15.1262,0.8949926,43.89741,2.904377,0.7556244,1.727934,86.67371,0.006259311,9.7231,1.192036,0.4625386,0,0.8523098,1.862645E-09,0.1513482,15.9288,0.8907455,175,1.457221,1.191855,3.115541,34.56569,171.8845,3.592276,435.232,2.762449,686.6315,6.423326,8.794713,0.09839096,5.679819,0.07753728,1.019645,1.024061,"NAN","NAN","NAN","NAN","NAN",0,15.62802,644.8593,72.40443,43.30296,264.413,80.93761,"KormannMeixner"
"2021-05-21 00:00:00",16,0.8723039,0.03839009,9,18000,6.905789,9,18000,-1.781772,9,18000,-0.2580114,0.00702577,7,0.08199511,0.02060437,0.4269371,14.86206,0.718156,45.1598,3.081124,0.7651747,1.697924,86.66951,0.00675085,9.327497,1.161994,0.7624347,0,0.493278,-9.313226E-10,0.1710099,15.67417,0.7213118,175,1.364799,1.161961,11.42691,31.22665,163.5731,3.580689,435.8212,1.711748,688.0711,4.14346,8.907309,0.1211196,5.756692,0.07723639,1.020113,1.024499,"NAN","NAN","NAN","NAN","NAN",0,30.24746,1000.688,127.8907,78.33107,264.413,72.53062,"KormannMeixner"
"2021-05-21 00:30:00",17,1.410832,0.0620907,7,18000,1.739603,7,18000,-22.4097,7,18000,-12.88207,0.02130828,1,0.1425889,0.1485555,0.3201605,14.06673,0.7875706,49.64259,3.684354,0.7985045,1.613157,86.69351,0.01330048,8.146528,1.380643,0.5135084,0,0.5879162,1.862645E-09,0.1760245,14.91176,0.7853938,175,1.518659,1.380539,327.4808,24.42772,207.5192,3.34495,439.8211,1.912747,696.2363,4.758559,9.296285,0.1189387,6.024196,0.0853539,1.019845,1.024245,"NAN","NAN","NAN","NAN","NAN",0,18.01739,777.9037,85.05611,50.51315,264.413,78.45925,"KormannMeixner"
