"TOA5","CR6Series_2","CR6","15361","CR6.Std.10.02","CPU:W20058__CR6CP_EErDuoSi.CR6","35657","Time_Series"
"TIMESTAMP","RECORD","Ux","Uy","Uz","T_SONIC","diag_sonic","CO2","H2O","diag_irga","TA_1_1_1","T_cell","PA_cell","CO2_sig_strgth","H2O_sig_strgth","PA_diff","PA","pump_flow","sampling_regime"
"TS","RN","m s-1","m s-1","m s-1","deg C","adimensional","umolCO2 mol-1","mmolH2O mol-1","adimensional","deg C","deg C","kPa","fraction","fraction","kPa","kPa","L min-1","adimensional"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-22 13:49:34.4",1658069,-2.953964,-3.836261,0.2651863,21.16468,0,418.2222,7.101188,0,20.50388,24.79214,81.48425,1.010808,1.015019,-5.301231,86.78548,7.999187,1
"2021-05-22 13:49:34.5",1658070,-5.139452,-4.520769,0.8370458,21.3775,0,418.4243,7.065192,0,20.71957,24.79202,81.4808,1.010798,1.014967,-5.301254,86.78205,7.999341,1
"2021-05-22 13:49:34.6",1658071,-5.471027,-4.923356,-1.083149,21.56072,0,418.272,7.127083,0,20.89664,24.79074,81.47957,1.010797,1.015008,-5.304871,86.78444,8.003102,1
"2021-05-22 13:49:34.7",1658072,-3.926671,-6.428513,-0.009389266,21.74298,0,418.1738,7.195331,0,21.07217,24.79126,81.48244,1.010792,1.014991,-5.304649,86.78709,7.999031,1
"2021-05-22 13:49:34.8",1658073,-4.121089,-5.767234,-0.04613977,21.57598,0,418.3838,7.147967,0,20.90997,24.79147,81.47968,1.010829,1.015005,-5.306221,86.7859,8.000698,1
"2021-05-22 13:49:34.9",1658074,-4.219778,-6.358135,-0.7616326,21.70641,0,418.1904,7.218443,0,21.03354,24.79236,81.47816,1.0108,1.014975,-5.307907,86.78607,8.000775,1
"2021-05-22 13:49:35",1658075,-4.833408,-7.611588,-0.6798474,21.04214,0,418.3459,7.0596,0,20.38547,24.79144,81.47832,1.010797,1.014991,-5.309616,86.78793,8.000504,1
"2021-05-22 13:49:35.1",1658076,-5.424486,-7.376287,-2.524365,20.48789,0,418.7191,6.884358,0,19.8486,24.78943,81.47855,1.010792,1.014974,-5.309853,86.7884,7.998605,1
"2021-05-22 13:49:35.2",1658077,-5.519888,-6.579478,0.9558703,20.63211,0,418.6996,6.939811,0,19.98743,24.79099,81.47628,1.010793,1.01495,-5.313248,86.78953,7.998208,1
"2021-05-22 13:49:35.3",1658078,-6.056173,-7.70804,0.6118436,21.23732,0,418.4626,7.043481,0,20.58173,24.79004,81.4716,1.010788,1.014991,-5.315918,86.78751,8.001978,1
"2021-05-22 13:49:35.4",1658079,-9.062074,-6.185775,0.1341891,20.87184,0,418.4152,7.03434,0,20.2179,24.78979,81.47244,1.010784,1.01498,-5.31739,86.78983,7.998111,1
"2021-05-22 13:49:35.5",1658080,-6.004847,-6.930087,0.6065864,21.54664,0,418.3074,7.120413,0,20.88321,24.79068,81.47822,1.010781,1.014976,-5.311729,86.78995,8.000117,1
"2021-05-22 13:49:35.6",1658081,-5.431571,-5.463631,1.753995,21.70079,0,418.2802,7.106415,0,21.0383,24.78979,81.47789,1.010778,1.014975,-5.309525,86.78741,8,1
"2021-05-22 13:49:35.7",1658082,-5.526819,-6.185884,1.842996,21.23772,0,418.6184,7.023088,0,20.58401,24.79108,81.47975,1.010826,1.014997,-5.301254,86.78101,7.997675,1
"2021-05-22 13:49:35.8",1658083,-4.812006,-5.201154,-0.7323658,21.62874,0,418.2077,7.106686,0,20.96643,24.78949,81.47647,1.010789,1.014956,-5.297722,86.77419,8.000077,1
"2021-05-22 13:49:35.9",1658084,-7.31919,-5.213973,-1.976878,20.93252,0,418.4854,7.02099,0,20.27963,24.78979,81.47661,1.010778,1.014963,-5.30603,86.78264,7.998373,1
"2021-05-22 13:49:36",1658085,-4.523524,-6.989436,1.180678,21.10205,0,418.547,7.046799,0,20.44644,24.79034,81.47814,1.010821,1.014971,-5.309578,86.78772,7.999904,1
"2021-05-22 13:49:36.1",1658086,-5.356553,-4.162014,0.0622611,20.87506,0,418.5069,7.0172,0,20.22263,24.78909,81.47807,1.010778,1.014968,-5.30983,86.7879,8,1
"2021-05-22 13:49:36.2",1658087,-5.821177,-5.754076,-0.3549863,20.93331,0,418.5843,7.01807,0,20.28073,24.78992,81.47928,1.010797,1.014961,-5.305077,86.78436,7.99845,1
"2021-05-22 13:49:36.3",1658088,-5.797301,-4.990831,-0.04178414,20.91822,0,418.3706,7.027857,0,20.26477,24.7894,81.47832,1.010793,1.014973,-5.306274,86.7846,8.000049,1
